Filename,Time (s),Memory (B),Path
CoinAlloc.cpp,0.05,72105984,dependencies/osi_clp/CoinUtils/src/CoinAlloc.cpp
Failure.cpp,0.56,174063616,third_party/CppUnitLite/Failure.cpp
OsiAuxInfo.cpp,0.85,222314496,dependencies/osi_clp/Osi/src/Osi/OsiAuxInfo.cpp
CoinBuild.cpp,0.63,190513152,dependencies/osi_clp/CoinUtils/src/CoinBuild.cpp
SimpleString.cpp,0.55,172605440,third_party/CppUnitLite/SimpleString.cpp
file_system.cpp,1.23,188186624,third_party/stlplus3/filesystemSimplified/file_system.cpp
portability_fixes.cpp,0.03,70483968,third_party/stlplus3/filesystemSimplified/portability_fixes.cpp
wildcard.cpp,0.33,150978560,third_party/stlplus3/filesystemSimplified/wildcard.cpp
Test.cpp,0.74,197771264,third_party/CppUnitLite/Test.cpp
CbcOrClpParam.cpp,1.79,275234816,dependencies/osi_clp/Clp/src/CbcOrClpParam.cpp
CoinDenseFactorization.cpp,1.36,230572032,dependencies/osi_clp/CoinUtils/src/CoinDenseFactorization.cpp
OsiBranchingObject.cpp,1.62,250675200,dependencies/osi_clp/Osi/src/Osi/OsiBranchingObject.cpp
TestRegistry.cpp,0.62,185319424,third_party/CppUnitLite/TestRegistry.cpp
CoinDenseVector.cpp,1.03,202440704,dependencies/osi_clp/CoinUtils/src/CoinDenseVector.cpp
TestResult.cpp,0.54,171540480,third_party/CppUnitLite/TestResult.cpp
CoinError.cpp,0.53,160055296,dependencies/osi_clp/CoinUtils/src/CoinError.cpp
OsiChooseVariable.cpp,1.51,251199488,dependencies/osi_clp/Osi/src/Osi/OsiChooseVariable.cpp
arg_parser.cc,1.77,263438336,third_party/lemon/lemon/arg_parser.cc
main.cpp,1.19,225460224,third_party/vectorGraphics/main.cpp
Linker/,0.01,21774336,Linker/
base.cc,0.61,170688512,third_party/lemon/lemon/base.cc
OsiColCut.cpp,0.77,217284608,dependencies/osi_clp/Osi/src/Osi/OsiColCut.cpp
ClpCholeskyBase.cpp,3.68,288014336,dependencies/osi_clp/Clp/src/ClpCholeskyBase.cpp
color.cc,0.66,183599104,third_party/lemon/lemon/color.cc
OsiCut.cpp,0.68,195870720,dependencies/osi_clp/Osi/src/Osi/OsiCut.cpp
CoinFactorization1.cpp,2.23,260227072,dependencies/osi_clp/CoinUtils/src/CoinFactorization1.cpp
ClpCholeskyTaucs.cpp,0.01,34193408,dependencies/osi_clp/Clp/src/ClpCholeskyTaucs.cpp
OsiClpSolverInterface.cpp,6.35,374980608,dependencies/osi_clp/Clp/src/OsiClp/OsiClpSolverInterface.cpp
lp_base.cc,0.82,196673536,third_party/lemon/lemon/lp_base.cc
ClpCholeskyDense.cpp,1.86,254738432,dependencies/osi_clp/Clp/src/ClpCholeskyDense.cpp
OsiCuts.cpp,1.19,243712000,dependencies/osi_clp/Osi/src/Osi/OsiCuts.cpp
random.cc,0.71,198148096,third_party/lemon/lemon/random.cc
lp_skeleton.cc,1.26,249102336,third_party/lemon/lemon/lp_skeleton.cc
ClpConstraint.cpp,0.73,209354752,dependencies/osi_clp/Clp/src/ClpConstraint.cpp
CoinFactorization2.cpp,2.13,258523136,dependencies/osi_clp/CoinUtils/src/CoinFactorization2.cpp
OsiNames.cpp,1.38,244842496,dependencies/osi_clp/Osi/src/Osi/OsiNames.cpp
windows.cc,0.77,201932800,third_party/lemon/lemon/bits/windows.cc
ClpConstraintLinear.cpp,1.12,234192896,dependencies/osi_clp/Clp/src/ClpConstraintLinear.cpp
exif.cpp,1.10,185122816,third_party/easyexif/exif.cpp
CoinFactorization3.cpp,1.85,237780992,dependencies/osi_clp/CoinUtils/src/CoinFactorization3.cpp
OsiRowCut.cpp,0.91,217743360,dependencies/osi_clp/Osi/src/Osi/OsiRowCut.cpp
OsiPresolve.cpp,1.60,254590976,dependencies/osi_clp/Osi/src/Osi/OsiPresolve.cpp
ClpConstraintQuadratic.cpp,1.05,229539840,dependencies/osi_clp/Clp/src/ClpConstraintQuadratic.cpp
OsiRowCutDebugger.cpp,1.41,266387456,dependencies/osi_clp/Osi/src/Osi/OsiRowCutDebugger.cpp
ClpDualRowDantzig.cpp,0.88,220921856,dependencies/osi_clp/Clp/src/ClpDualRowDantzig.cpp
CoinFileIO.cpp,0.83,201375744,dependencies/osi_clp/CoinUtils/src/CoinFileIO.cpp
fast.c,0.04,75104256,third_party/fast/fast.c
ClpDualRowPivot.cpp,0.78,204275712,dependencies/osi_clp/Clp/src/ClpDualRowPivot.cpp
CoinFactorization4.cpp,2.12,257998848,dependencies/osi_clp/CoinUtils/src/CoinFactorization4.cpp
CoinFinite.cpp,0.05,70844416,dependencies/osi_clp/CoinUtils/src/CoinFinite.cpp
OsiSolverBranch.cpp,0.95,222216192,dependencies/osi_clp/Osi/src/Osi/OsiSolverBranch.cpp
ClpDualRowSteepest.cpp,1.39,247169024,dependencies/osi_clp/Clp/src/ClpDualRowSteepest.cpp
fast_10.c,1.76,159694848,third_party/fast/fast_10.c
OsiSolverInterface.cpp,2.64,283869184,dependencies/osi_clp/Osi/src/Osi/OsiSolverInterface.cpp
ClpDummyMatrix.cpp,0.90,222281728,dependencies/osi_clp/Clp/src/ClpDummyMatrix.cpp
fast_11.c,1.38,149078016,third_party/fast/fast_11.c
CoinIndexedVector.cpp,2.71,252084224,dependencies/osi_clp/CoinUtils/src/CoinIndexedVector.cpp
ClpDynamicExampleMatrix.cpp,1.31,248872960,dependencies/osi_clp/Clp/src/ClpDynamicExampleMatrix.cpp
fast_12.c,0.94,141475840,third_party/fast/fast_12.c
CoinLpIO.cpp,2.49,283426816,dependencies/osi_clp/CoinUtils/src/CoinLpIO.cpp
CoinMessage.cpp,0.55,187105280,dependencies/osi_clp/CoinUtils/src/CoinMessage.cpp
fast_9.c,2.23,183435264,third_party/fast/fast_9.c
ClpDynamicMatrix.cpp,2.40,276070400,dependencies/osi_clp/Clp/src/ClpDynamicMatrix.cpp
nonmax.c,0.10,92504064,third_party/fast/nonmax.c
exif_IO_test.cpp,3.21,510296064,openMVG/exif/exif_IO_test.cpp
Linker/,0.02,21741568,Linker/
numeric.cpp,4.11,588365824,openMVG/numeric/numeric.cpp
CoinMessageHandler.cpp,1.36,228868096,dependencies/osi_clp/CoinUtils/src/CoinMessageHandler.cpp
ClpEventHandler.cpp,0.77,206356480,dependencies/osi_clp/Clp/src/ClpEventHandler.cpp
CoinModelUseful2.cpp,0.88,224149504,dependencies/osi_clp/CoinUtils/src/CoinModelUseful2.cpp
ClpFactorization.cpp,1.51,258228224,dependencies/osi_clp/Clp/src/ClpFactorization.cpp
CoinModelUseful.cpp,1.32,213221376,dependencies/osi_clp/CoinUtils/src/CoinModelUseful.cpp
CoinModel.cpp,3.15,285982720,dependencies/osi_clp/CoinUtils/src/CoinModel.cpp
ClpGubDynamicMatrix.cpp,2.19,277069824,dependencies/osi_clp/Clp/src/ClpGubDynamicMatrix.cpp
ClpGubMatrix.cpp,2.28,280543232,dependencies/osi_clp/Clp/src/ClpGubMatrix.cpp
timer.cpp,0.56,178241536,openMVG/system/timer.cpp
ParseDatabase_test.cpp,3.75,525467648,openMVG/exif/sensor_width_database/ParseDatabase_test.cpp
Linker/,0.02,21741568,Linker/
ClpHelperFunctions.cpp,1.03,233652224,dependencies/osi_clp/Clp/src/ClpHelperFunctions.cpp
CoinOslFactorization.cpp,1.10,229933056,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization.cpp
ClpInterior.cpp,1.21,247742464,dependencies/osi_clp/Clp/src/ClpInterior.cpp
CoinMpsIO.cpp,3.56,305528832,dependencies/osi_clp/CoinUtils/src/CoinMpsIO.cpp
feature.cpp,2.73,481984512,openMVG/features/feature.cpp
ClpLinearObjective.cpp,1.02,235290624,dependencies/osi_clp/Clp/src/ClpLinearObjective.cpp
ClpLsqr.cpp,1.07,252706816,dependencies/osi_clp/Clp/src/ClpLsqr.cpp
CoinOslFactorization2.cpp,2.41,259981312,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization2.cpp
nullspace.cpp,15.55,1039777792,openMVG/numeric/nullspace.cpp
ClpMatrixBase.cpp,0.99,234029056,dependencies/osi_clp/Clp/src/ClpMatrixBase.cpp
ClpMessage.cpp,0.56,185303040,dependencies/osi_clp/Clp/src/ClpMessage.cpp
triplet_finder_test.cpp,5.15,700481536,openMVG/graph/triplet_finder_test.cpp
Linker/,0.02,21741568,Linker/
CoinOslFactorization3.cpp,3.92,280674304,dependencies/osi_clp/CoinUtils/src/CoinOslFactorization3.cpp
ClpModel.cpp,3.72,311017472,dependencies/osi_clp/Clp/src/ClpModel.cpp
AKAZE.cpp,12.36,1028784128,openMVG/features/akaze/AKAZE.cpp
ClpNetworkBasis.cpp,1.18,239550464,dependencies/osi_clp/Clp/src/ClpNetworkBasis.cpp
CoinPackedMatrix.cpp,3.31,279937024,dependencies/osi_clp/CoinUtils/src/CoinPackedMatrix.cpp
connectedComponent_test.cpp,7.33,769523712,openMVG/graph/connectedComponent_test.cpp
Linker/,0.02,21692416,Linker/
CoinPackedVector.cpp,1.20,231555072,dependencies/osi_clp/CoinUtils/src/CoinPackedVector.cpp
ClpNetworkMatrix.cpp,1.44,252477440,dependencies/osi_clp/Clp/src/ClpNetworkMatrix.cpp
liop_descriptor.cpp,6.42,670482432,openMVG/features/liop/liop_descriptor.cpp
ClpNode.cpp,1.25,246857728,dependencies/osi_clp/Clp/src/ClpNode.cpp
CoinPackedVectorBase.cpp,1.14,229441536,dependencies/osi_clp/CoinUtils/src/CoinPackedVectorBase.cpp
CoinParam.cpp,0.92,207601664,dependencies/osi_clp/CoinUtils/src/CoinParam.cpp
mser.cpp,2.44,405684224,openMVG/features/mser/mser.cpp
mser_region.cpp,0.36,150896640,openMVG/features/mser/mser_region.cpp
ClpNonLinearCost.cpp,1.40,252723200,dependencies/osi_clp/Clp/src/ClpNonLinearCost.cpp
CoinParamUtils.cpp,0.92,209108992,dependencies/osi_clp/CoinUtils/src/CoinParamUtils.cpp
ClpObjective.cpp,0.72,213712896,dependencies/osi_clp/Clp/src/ClpObjective.cpp
geodesy_test.cpp,2.85,494927872,openMVG/geodesy/geodesy_test.cpp
Linker/,0.02,21741568,Linker/
CoinPostsolveMatrix.cpp,0.76,222756864,dependencies/osi_clp/CoinUtils/src/CoinPostsolveMatrix.cpp
CoinPrePostsolveMatrix.cpp,0.85,226476032,dependencies/osi_clp/CoinUtils/src/CoinPrePostsolveMatrix.cpp
test_data_sets.cpp,5.69,679018496,openMVG/multiview/test_data_sets.cpp
svg_features.cpp,3.23,510279680,openMVG/features/svg_features.cpp
CoinPresolveDoubleton.cpp,1.21,241106944,dependencies/osi_clp/CoinUtils/src/CoinPresolveDoubleton.cpp
CoinPresolveDual.cpp,1.02,246546432,dependencies/osi_clp/CoinUtils/src/CoinPresolveDual.cpp
